,adUnits,appKey,appName,bundleId,data,date,placement
0,Rewarded Video,5d59f125,Cookie Jam (iOS),com.sgn.cookiejam,"[{'impressions': 40989, 'videoCompletions': 40461, 'engagedUsers': 40411, 'engagementRate': 4.81, 'impressionsPerEngagedUser': 1.01, 'clicks': 576, 'clickThroughRate': 1.41}]",2019-06-24,Daily_Spinner
1,Rewarded Video,5d59f125,Cookie Jam (iOS),com.sgn.cookiejam,"[{'impressions': 783311, 'videoCompletions': 770887, 'engagedUsers': 156419, 'engagementRate': 18.63, 'impressionsPerEngagedUser': 5.01, 'clicks': 7130, 'clickThroughRate': 0.91}]",2019-06-24,Pregame_Booster
2,Rewarded Video,5d59f125,Cookie Jam (iOS),com.sgn.cookiejam,"[{'impressions': 128820, 'videoCompletions': 125833, 'engagedUsers': 61279, 'engagementRate': 7.3, 'impressionsPerEngagedUser': 2.1, 'clicks': 1229, 'clickThroughRate': 0.95}]",2019-06-24,OOM
3,Rewarded Video,5d59f125,Cookie Jam (iOS),com.sgn.cookiejam,"[{'impressions': 140502, 'videoCompletions': 136460, 'engagedUsers': 39235, 'engagementRate': 4.67, 'impressionsPerEngagedUser': 3.58, 'clicks': 1406, 'clickThroughRate': 1}]",2019-06-24,OOL
0,Rewarded Video,5db0e9bd,Cookie Jam (Android),air.com.sgn.cookiejam.gp,"[{'impressions': 71937, 'videoCompletions': 69776, 'engagedUsers': 70556, 'engagementRate': 7.09, 'impressionsPerEngagedUser': 1.02, 'clicks': 1257, 'clickThroughRate': 1.75}]",2019-06-24,Daily_Spinner
1,Rewarded Video,5db0e9bd,Cookie Jam (Android),air.com.sgn.cookiejam.gp,"[{'impressions': 1126337, 'videoCompletions': 1095279, 'engagedUsers': 193057, 'engagementRate': 19.39, 'impressionsPerEngagedUser': 5.83, 'clicks': 11752, 'clickThroughRate': 1.04}]",2019-06-24,Pregame_Booster
2,Rewarded Video,5db0e9bd,Cookie Jam (Android),air.com.sgn.cookiejam.gp,"[{'impressions': 211054, 'videoCompletions': 204194, 'engagedUsers': 86540, 'engagementRate': 8.69, 'impressionsPerEngagedUser': 2.44, 'clicks': 2659, 'clickThroughRate': 1.26}]",2019-06-24,OOM
3,Rewarded Video,5db0e9bd,Cookie Jam (Android),air.com.sgn.cookiejam.gp,"[{'impressions': 236491, 'videoCompletions': 226946, 'engagedUsers': 64454, 'engagementRate': 6.47, 'impressionsPerEngagedUser': 3.67, 'clicks': 3401, 'clickThroughRate': 1.44}]",2019-06-24,OOL
4,Rewarded Video,5db0e9bd,Cookie Jam (Android),air.com.sgn.cookiejam.gp,"[{'impressions': 1, 'videoCompletions': 1, 'engagedUsers': 1, 'engagementRate': 0, 'impressionsPerEngagedUser': 1, 'clicks': 0, 'clickThroughRate': 0}]",2019-06-24,DefaultRewardedVideo
0,Rewarded Video,630d5915,Cookie Jam Blast (iOS),com.sgn.cookiejamblast,"[{'impressions': 78241, 'videoCompletions': 77610, 'engagedUsers': 17552, 'engagementRate': 8.47, 'impressionsPerEngagedUser': 4.46, 'clicks': 566, 'clickThroughRate': 0.72}]",2019-06-24,Daily_Spinner
1,Rewarded Video,630d5915,Cookie Jam Blast (iOS),com.sgn.cookiejamblast,"[{'impressions': 409958, 'videoCompletions': 405834, 'engagedUsers': 43836, 'engagementRate': 21.15, 'impressionsPerEngagedUser': 9.35, 'clicks': 2457, 'clickThroughRate': 0.6}]",2019-06-24,Pregame_Booster
2,Rewarded Video,630d5915,Cookie Jam Blast (iOS),com.sgn.cookiejamblast,"[{'impressions': 176823, 'videoCompletions': 174346, 'engagedUsers': 36542, 'engagementRate': 17.63, 'impressionsPerEngagedUser': 4.84, 'clicks': 981, 'clickThroughRate': 0.55}]",2019-06-24,OOM
